time_sec,pitch_angle,yaw_angle,target_step,is_fired
58.6983,0.3,0.1,None,0
58.7595,0.3,0.1,None,0
58.7989,0.3,0.1,None,0
58.8605,0.3,0.1,None,0
58.9,0.3,0.1,None,0
58.9601,0.3,0.1,None,0
58.9988,0.3,0.1,None,0
59.0589,0.3,0.1,None,0
59.0997,0.3,0.1,None,0
59.1605,0.3,0.1,Step1_Green_Rectangle,0
59.2189,0.0,-1.4,Step1_Green_Rectangle,0
59.258,-0.6,-3.6,Step1_Green_Rectangle,0
59.3197,-0.9,-5.0,Step1_Green_Rectangle,0
59.38,-1.3,-6.7,Step1_Green_Rectangle,0
59.4197,-1.6,-8.3,Step1_Green_Rectangle,0
59.4791,-2.0,-9.7,Step1_Green_Rectangle,0
59.5391,-2.2,-10.6,Step1_Green_Rectangle,0
59.5788,-2.5,-11.9,Step1_Green_Rectangle,0
59.6387,-2.7,-12.7,Step1_Green_Rectangle,0
59.6782,-2.9,-13.8,Step1_Green_Rectangle,0
59.7392,-3.1,-14.6,Step1_Green_Rectangle,0
59.7797,-3.3,-15.7,Step1_Green_Rectangle,0
59.8388,-3.5,-16.7,Step1_Green_Rectangle,0
59.8987,-3.6,-17.3,Step1_Green_Rectangle,0
59.966,-3.8,-18.2,Step1_Green_Rectangle,0
60.0003,-4.0,-19.1,Step1_Green_Rectangle,0
60.0585,-4.2,-19.9,Step1_Green_Rectangle,0
60.0987,-4.2,-20.4,Step1_Green_Rectangle,0
60.1585,-4.3,-21.2,Step1_Green_Rectangle,0
60.1988,-4.4,-21.6,Step1_Green_Rectangle,0
60.2584,-4.5,-22.3,Step1_Green_Rectangle,0
60.3192,-4.6,-22.8,Step1_Green_Rectangle,0
60.3602,-4.6,-23.4,Step1_Green_Rectangle,0
60.4188,-4.7,-23.8,Step1_Green_Rectangle,0
60.4785,-4.8,-24.3,Step1_Green_Rectangle,0
60.5195,-4.9,-24.8,Step1_Green_Rectangle,0
60.5825,-4.9,-25.2,Step1_Green_Rectangle,0
60.6203,-5.0,-25.6,Step1_Green_Rectangle,0
60.6844,-5.0,-25.9,Step1_Green_Rectangle,0
60.7198,-5.0,-26.3,Step1_Green_Rectangle,0
60.7822,-5.0,-26.6,Step1_Green_Rectangle,0
60.8287,-5.1,-26.9,Step1_Green_Rectangle,0
60.8817,-5.1,-27.3,Step1_Green_Rectangle,0
60.9388,-5.2,-27.5,Step1_Green_Rectangle,0
60.9825,-5.2,-27.8,Step1_Green_Rectangle,0
61.0384,-5.2,-28.0,Step1_Green_Rectangle,0
61.0821,-5.2,-28.3,Step1_Green_Rectangle,0
61.1403,-5.2,-28.5,Step1_Green_Rectangle,0
61.1817,-5.3,-28.7,Step1_Green_Rectangle,0
61.2385,-5.3,-28.9,Step1_Green_Rectangle,0
61.2815,-5.3,-29.1,Step1_Green_Rectangle,0
61.3397,-5.3,-29.3,Step1_Green_Rectangle,0
61.3991,-5.3,-29.4,Step1_Green_Rectangle,0
61.4587,-5.3,-29.6,Step1_Green_Rectangle,0
61.4997,-5.4,-29.8,Step1_Green_Rectangle,0
61.5594,-5.4,-29.9,Step1_Green_Rectangle,0
61.5987,-5.4,-30.1,Step1_Green_Rectangle,0
61.6599,-5.4,-30.2,Step1_Green_Rectangle,0
61.6993,-5.4,-30.3,Step1_Green_Rectangle,0
61.7592,-5.4,-30.5,Step1_Green_Rectangle,0
61.7988,-5.4,-30.6,Step1_Green_Rectangle,0
61.8593,-5.5,-30.7,Step1_Green_Rectangle,0
61.9204,-5.5,-30.8,Step1_Green_Rectangle,0
61.9586,-5.5,-30.9,Step1_Green_Rectangle,0
62.0196,-5.5,-31.0,Step1_Green_Rectangle,0
62.0594,-5.5,-31.1,Step1_Green_Rectangle,0
62.1207,-5.5,-31.1,Step1_Green_Rectangle,0
62.1588,-5.5,-31.2,Step1_Green_Rectangle,0
62.2189,-5.5,-31.3,Step1_Green_Rectangle,0
62.259,-5.5,-31.3,Step1_Green_Rectangle,0
62.3192,-5.5,-31.4,Step1_Green_Rectangle,0
62.3817,-5.5,-31.5,Step1_Green_Rectangle,0
62.4189,-5.5,-31.5,Step1_Green_Rectangle,0
62.4802,-5.5,-31.6,Step1_Green_Rectangle,0
62.5189,-5.5,-31.7,Step1_Green_Rectangle,0
62.5797,-5.5,-31.7,Step1_Green_Rectangle,0
62.6394,-5.5,-31.8,Step1_Green_Rectangle,0
62.6822,-5.5,-31.8,Step1_Green_Rectangle,0
62.739,-5.5,-31.8,Step1_Green_Rectangle,0
62.798,-5.5,-31.9,Step1_Green_Rectangle,0
62.8394,-5.5,-31.9,Step1_Green_Rectangle,0
62.8992,-5.5,-31.9,Step1_Green_Rectangle,0
62.9588,-5.5,-32.0,Step1_Green_Rectangle,0
62.9992,-5.5,-32.0,Step1_Green_Rectangle,0
63.0606,-5.5,-32.0,Step1_Green_Rectangle,0
63.1194,-5.5,-32.1,Step1_Green_Rectangle,0
63.16,-5.5,-32.1,Step1_Green_Rectangle,0
63.2186,-5.5,-32.1,Step1_Green_Rectangle,0
63.2593,-5.5,-32.2,Step1_Green_Rectangle,0
63.3193,-5.5,-32.2,Step1_Green_Rectangle,0
63.3801,-5.5,-32.2,Step1_Green_Rectangle,0
63.4186,-5.5,-32.2,Step1_Green_Rectangle,0
63.4809,-5.5,-32.2,Step1_Green_Rectangle,0
63.5189,-5.5,-32.3,Step1_Green_Rectangle,0
63.5809,-5.5,-32.3,Step1_Green_Rectangle,0
63.6402,-5.5,-32.3,Step1_Green_Rectangle,0
63.679,-5.5,-32.3,Step1_Green_Rectangle,0
63.7393,-5.5,-32.3,Step1_Green_Rectangle,0
63.7988,-5.5,-32.3,Step1_Green_Rectangle,0
63.8391,-5.5,-32.3,Step1_Green_Rectangle,0
63.8999,-5.5,-32.3,Step1_Green_Rectangle,0
63.9598,-5.5,-32.3,Step1_Green_Rectangle,0
63.9985,-5.5,-32.3,Step1_Green_Rectangle,1
64.0595,-5.5,-32.3,Step1_Green_Rectangle,1
64.1185,-5.5,-32.3,Step1_Green_Rectangle,1
64.1592,-5.5,-32.3,Step1_Green_Rectangle,1
64.2222,-5.5,-32.3,Step1_Green_Rectangle,1
64.2793,-5.5,-32.3,Step1_Green_Rectangle,1
64.3194,-5.5,-32.3,Step1_Green_Rectangle,0
64.3778,-5.5,-32.3,Step1_Green_Rectangle,0
64.44,-5.5,-32.3,Step1_Green_Rectangle,0
64.4996,-5.5,-32.3,Step1_Green_Rectangle,0
64.5423,-5.5,-32.3,Step2_Blue_Rectangle,0
64.5994,-5.5,-32.3,Step2_Blue_Rectangle,0
64.6396,-5.5,-32.3,Step2_Blue_Rectangle,0
64.6983,-5.5,-32.3,Step2_Blue_Rectangle,0
64.7404,-5.5,-32.3,Step2_Blue_Rectangle,0
64.7977,-5.5,-32.3,Step2_Blue_Rectangle,0
64.8588,-5.5,-32.3,Step2_Blue_Rectangle,0
64.8987,-5.5,-32.3,Step2_Blue_Rectangle,0
64.9586,-5.5,-32.3,Step2_Blue_Rectangle,0
64.9997,-5.5,-32.3,Step2_Blue_Rectangle,0
65.0584,-5.5,-32.3,Step2_Blue_Rectangle,0
65.1196,-5.5,-32.3,Step2_Blue_Rectangle,0
65.1591,-5.5,-32.3,Step2_Blue_Rectangle,0
65.2189,-5.5,-32.3,Step2_Blue_Rectangle,0
65.2864,-5.5,-32.3,Step2_Blue_Rectangle,0
65.3412,-5.5,-32.3,Step2_Blue_Rectangle,0
65.3781,-5.5,-32.3,Step2_Blue_Rectangle,0
65.4406,-5.5,-32.3,Step2_Blue_Rectangle,0
65.4993,-5.5,-32.3,Step2_Blue_Rectangle,0
65.5399,-5.5,-32.3,Step2_Blue_Rectangle,0
65.5995,-5.5,-31.7,Step2_Blue_Rectangle,0
65.642,-5.6,-29.6,Step2_Blue_Rectangle,0
65.6991,-5.7,-28.4,Step2_Blue_Rectangle,0
65.7589,-5.8,-26.1,Step2_Blue_Rectangle,0
65.7985,-5.8,-25.0,Step2_Blue_Rectangle,0
65.8588,-5.8,-23.5,Step2_Blue_Rectangle,0
65.92,-5.9,-22.6,Step2_Blue_Rectangle,0
65.9593,-5.9,-21.3,Step2_Blue_Rectangle,0
66.0183,-5.9,-20.5,Step2_Blue_Rectangle,0
66.0587,-5.9,-19.3,Step2_Blue_Rectangle,0
66.1189,-5.9,-18.6,Step2_Blue_Rectangle,0
66.1789,-6.0,-17.6,Step2_Blue_Rectangle,0
66.2188,-6.0,-16.7,Step2_Blue_Rectangle,0
66.2792,-6.0,-15.8,Step2_Blue_Rectangle,0
66.3188,-6.0,-15.3,Step2_Blue_Rectangle,0
66.3786,-6.0,-14.5,Step2_Blue_Rectangle,0
66.4407,-6.0,-14.0,Step2_Blue_Rectangle,0
66.4806,-5.9,-13.4,Step2_Blue_Rectangle,0
66.5403,-5.9,-12.9,Step2_Blue_Rectangle,0
66.5796,-5.9,-12.3,Step2_Blue_Rectangle,0
66.6424,-5.9,-11.9,Step2_Blue_Rectangle,0
66.6991,-5.9,-11.4,Step2_Blue_Rectangle,0
66.7402,-5.9,-10.9,Step2_Blue_Rectangle,0
66.7984,-5.9,-10.6,Step2_Blue_Rectangle,0
66.8408,-5.9,-10.2,Step2_Blue_Rectangle,0
66.8986,-5.9,-9.9,Step2_Blue_Rectangle,0
66.9587,-5.9,-9.4,Step2_Blue_Rectangle,0
66.9997,-5.9,-9.0,Step2_Blue_Rectangle,0
67.0585,-5.9,-8.7,Step2_Blue_Rectangle,0
67.1196,-5.9,-8.4,Step2_Blue_Rectangle,0
67.1587,-5.9,-8.1,Step2_Blue_Rectangle,0
67.2189,-5.9,-7.9,Step2_Blue_Rectangle,0
67.2592,-5.9,-7.6,Step2_Blue_Rectangle,0
67.3182,-5.9,-7.3,Step2_Blue_Rectangle,0
67.38,-5.9,-7.2,Step2_Blue_Rectangle,0
67.4201,-5.8,-6.9,Step2_Blue_Rectangle,0
